odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
1.0795,27/08/2011,Geelong,Sydney,13937,23,12,14,86,-13,Kardinia Park,Sydney,15,9,99,12.6741,15,9,13
1.1198,27/08/2011,Hawthorn,Western Bulldogs,13936,23,16,17,113,46,M.C.G.,Western Bulldogs,10,7,67,9.1836,10,7,-46
1.8072,27/08/2011,St Kilda,North Melbourne,13938,23,19,21,135,65,Docklands,North Melbourne,10,10,70,2.2031,10,10,-65
1.3878,28/08/2011,Adelaide,Richmond,13940,23,15,9,99,-22,Football Park,Richmond,17,19,121,3.5317,17,19,22
1.053,28/08/2011,Essendon,Port Adelaide,13942,23,17,18,120,7,Docklands,Port Adelaide,17,11,113,19.1766,17,11,-7
1.1683,28/08/2011,Melbourne,Gold Coast,13941,23,17,10,112,30,M.C.G.,Gold Coast,12,10,82,6.8497,12,10,-30
1.7072,9/09/2011,Geelong,Hawthorn,13951,25,14,14,98,31,M.C.G.,Hawthorn,9,13,67,2.4018,9,13,-31
1.4715,16/09/2011,Hawthorn,Sydney,13955,26,19,8,122,36,M.C.G.,Sydney,13,8,86,3.0676,13,8,-36
1.3981,17/09/2011,West Coast,Carlton,13956,26,15,11,101,3,Subiaco,Carlton,15,8,98,3.4605,15,8,-3
1.2664,23/09/2011,Collingwood,Hawthorn,13957,27,10,8,68,3,M.C.G.,Hawthorn,9,11,65,4.6879,9,11,-3
1.2185,24/09/2011,Geelong,West Coast,13958,27,17,15,117,48,M.C.G.,West Coast,10,9,69,5.5401,10,9,-48
26.0079,24/03/2012,GWS,Sydney,13960,1,5,7,37,-63,Stadium Australia,Sydney,14,16,100,1.041,14,16,63
2.5725,29/03/2012,Richmond,Carlton,13961,1,12,9,81,-44,M.C.G.,Carlton,18,17,125,1.625,18,17,44
1.7072,30/03/2012,Hawthorn,Collingwood,13962,1,20,17,137,22,M.C.G.,Collingwood,16,19,115,2.4033,16,19,-22
2.2707,31/03/2012,Fremantle,Geelong,13966,1,16,9,105,4,Subiaco,Geelong,15,11,101,1.7742,15,11,-4
