date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-06-03,87,2012,10,Gabba,Brisbane,West Coast,1,2,1,73.0,83.5,1344.5466781793887,1541.2750705025169
2012-06-03,88,2012,10,M.C.G.,Collingwood,Gold Coast,1,97,1,84.5,57.5,1808.54621497688,1102.388408596921
2012-06-08,89,2012,11,Docklands,Geelong,Carlton,0,12,1,72.5,75.0,1693.1531699770192,1544.565649190555
2012-06-09,90,2012,11,Carrara,St Kilda,Gold Coast,0,95,1,85.5,57.5,1569.7528699261673,1126.8821924690637
2012-06-09,91,2012,11,M.C.G.,Fremantle,Richmond,0,12,1,79.5,66.5,1375.1526035797715,1479.7130085898586
2012-06-09,92,2012,11,Docklands,Essendon,Sydney,1,-4,0,67.5,79.0,1566.3862122513756,1557.783654918524
2012-06-10,93,2012,11,Football Park,Port Adelaide Power,Hawthorn,1,-46,0,62.0,88.0,1364.594353138663,1628.7830214746689
2012-06-11,94,2012,11,M.C.G.,Melbourne,Collingwood,1,-42,0,55.0,83.5,1308.7910932410339,1769.0524311047373
2012-06-14,95,2012,12,Subiaco,West Coast,Carlton,1,10,1,77.5,67.5,1688.5862944606738,1535.6162237802573
2012-06-15,96,2012,12,Football Park,Adelaide,St Kilda,1,4,1,84.5,71.0,1545.3788422259827,1571.926937471661
2012-06-16,97,2012,12,Sydney Showground,GWS,Richmond,1,-12,0,70.5,81.0,1159.2975209723702,1420.3302955200718
2012-06-16,98,2012,12,Carrara,North Melbourne,Gold Coast,0,7,1,79.5,68.5,1447.4521876759018,1124.70812492357
2012-06-17,99,2012,12,Docklands,Port Adelaide Power,Western Bulldogs,0,-38,0,65.5,87.5,1344.2140064364007,1502.4394405824007
2012-06-17,100,2012,12,M.C.G.,Brisbane,Hawthorn,0,-65,0,61.5,84.0,1342.2354542212317,1674.1633681769313
2012-06-22,101,2012,13,S.C.G.,Geelong,Sydney,0,-6,0,78.0,81.0,1702.1025953873168,1598.1549812943979
2012-06-23,102,2012,13,M.C.G.,Collingwood,West Coast,1,3,1,80.5,75.5,1811.0330682122785,1527.3781063902686
2012-06-23,103,2012,13,Docklands,Western Bulldogs,Brisbane,1,-58,0,72.5,79.5,1511.044409930426,1338.3684905867985
2012-06-23,104,2012,13,Subiaco,Essendon,Fremantle,0,24,1,78.5,68.0,1511.0148858755017,1564.5353166495584
2012-06-24,105,2012,13,Docklands,Adelaide,North Melbourne,0,-32,0,60.0,92.0,1546.5227900992609,1491.5007535165191
2012-06-24,106,2012,13,M.C.G.,Melbourne,GWS,1,78,1,80.0,64.5,1346.8104561334926,1128.8364927108275
2012-06-29,107,2012,14,M.C.G.,Hawthorn,Carlton,0,50,1,78.5,66.0,1638.0303318113645,1526.8244118506625
2012-06-30,108,2012,14,Stadium Australia,GWS,Sydney,0,-94,0,71.0,74.5,1122.1801700833714,1592.513484168623
2012-06-30,109,2012,14,Docklands,Essendon,Western Bulldogs,1,84,1,84.5,60.5,1528.3074434047364,1449.1480769901523
2012-06-30,110,2012,14,M.C.G.,Fremantle,Collingwood,0,-29,0,71.0,76.5,1377.2427591203236,1815.936280838386
2012-06-30,111,2012,14,Subiaco,Gold Coast,West Coast,0,-126,0,45.0,105.5,1095.6595590829527,1692.4748937641612
2012-06-30,112,2012,14,Football Park,Adelaide,Richmond,1,19,1,75.5,74.0,1544.1669595914186,1425.7913237816144
2012-07-01,113,2012,14,Gabba,Brisbane,Melbourne,1,61,1,76.5,63.5,1385.2648235270722,1313.4667787609487
2012-07-01,114,2012,14,Docklands,St Kilda,North Melbourne,1,-33,0,71.5,76.5,1555.7829895983828,1468.8565840243614
2012-07-01,115,2012,14,Kardinia Park,Port Adelaide Power,Geelong,0,-38,0,69.0,77.0,1335.6090370883755,1852.7440925130916
2012-07-06,116,2012,15,M.C.G.,Carlton,Collingwood,0,23,1,82.0,65.5,1516.4680514154745,1778.1593380517165
2012-07-07,117,2012,15,M.C.G.,Melbourne,Richmond,1,-23,0,71.5,80.0,1301.5231654364813,1415.713023404952
2012-07-07,118,2012,15,Bellerive Oval,North Melbourne,West Coast,1,-2,0,66.0,70.5,1612.533103603081,1523.4109797914064
2012-07-07,119,2012,15,Docklands,St Kilda,Essendon,1,71,1,86.0,62.0,1537.1064700196632,1539.9477924683708
2012-07-07,120,2012,15,S.C.G.,Brisbane,Sydney,0,-47,0,62.0,81.5,1372.2084368515395,1619.38952859246
2012-07-07,121,2012,15,Football Park,Adelaide,Port Adelaide Power,0,58,1,90.5,60.0,1539.245259968081,1334.154580776852
2012-07-08,122,2012,15,M.C.G.,Hawthorn,GWS,1,162,1,108.5,54.5,1688.3866922465525,1120.3041256595345
2012-07-08,123,2012,15,Carrara,Geelong,Gold Coast,0,14,1,79.0,64.0,1684.198548824615,1119.7234730557075
